id,filename,disease
0,train_0001.jpg,panu
1,train_0002.jpg,eksim
2,train_0003.jpg,acne
3,train_0004.jpg,herpes
4,train_0005.jpg,herpes
5,train_0006.jpg,acne
6,train_0007.jpg,acne
7,train_0008.jpg,eksim
8,train_0009.jpg,acne
9,train_0010.jpg,eksim
10,train_0011.jpg,eksim
11,train_0012.jpg,acne
12,train_0013.jpg,herpes
13,train_0014.jpg,acne
14,train_0015.jpg,eksim
15,train_0016.jpg,herpes
16,train_0017.jpg,herpes
17,train_0018.jpg,acne
18,train_0019.jpg,panu
19,train_0020.jpg,eksim
20,train_0021.jpg,acne
21,train_0022.jpg,herpes
22,train_0023.jpg,acne
23,train_0024.jpg,herpes
24,train_0025.jpg,herpes
25,train_0026.jpg,eksim
26,train_0027.jpg,eksim
27,train_0028.jpg,eksim
28,train_0029.jpg,acne
29,train_0030.jpg,rosacea
30,train_0031.jpg,acne
31,train_0032.jpg,eksim
32,train_0033.jpg,acne
33,train_0034.jpg,eksim
34,train_0035.jpg,acne
35,train_0036.jpg,acne
36,train_0037.jpg,eksim
37,train_0038.jpg,eksim
38,train_0039.jpg,panu
39,train_0040.jpg,eksim
40,train_0041.jpg,acne
41,train_0042.jpg,eksim
42,train_0043.jpg,herpes
43,train_0044.jpg,eksim
44,train_0045.jpg,panu
45,train_0046.jpg,acne
46,train_0047.jpg,panu
47,train_0048.jpg,eksim
48,train_0049.jpg,panu
49,train_0050.jpg,herpes
50,train_0051.jpg,acne
51,train_0052.jpg,eksim
52,train_0053.jpg,acne
53,train_0054.jpg,acne
54,train_0055.jpg,acne
55,train_0056.jpg,eksim
56,train_0057.jpg,acne
57,train_0058.jpg,acne
58,train_0059.jpg,panu
59,train_0060.jpg,herpes
60,train_0061.jpg,eksim
61,train_0062.jpg,eksim
62,train_0063.jpg,herpes
63,train_0064.jpg,eksim
64,train_0065.jpg,panu
65,train_0066.jpg,eksim
66,train_0067.jpg,herpes
67,train_0068.jpg,acne
68,train_0069.jpg,acne
69,train_0070.jpg,acne
70,train_0071.jpg,eksim
71,train_0072.jpg,acne
72,train_0073.jpg,herpes
73,train_0074.jpg,acne
74,train_0075.jpg,herpes
75,train_0076.jpg,herpes
76,train_0077.jpg,acne
77,train_0078.jpg,eksim
78,train_0079.jpg,panu
79,train_0080.jpg,eksim
80,train_0081.jpg,eksim
81,train_0082.jpg,acne
82,train_0083.jpg,eksim
83,train_0084.jpg,herpes
84,train_0085.jpg,panu
85,train_0086.jpg,herpes
86,train_0087.jpg,panu
87,train_0088.jpg,eksim
88,train_0089.jpg,eksim
89,train_0090.jpg,acne
90,train_0091.jpg,eksim
91,train_0092.jpg,herpes
92,train_0093.jpg,panu
93,train_0094.jpg,eksim
94,train_0095.jpg,panu
95,train_0096.jpg,acne
96,train_0097.jpg,acne
97,train_0098.jpg,acne
98,train_0099.jpg,acne
99,train_0100.jpg,rosacea
100,train_0101.jpg,eksim
101,train_0102.jpg,herpes
102,train_0103.jpg,eksim
103,train_0104.jpg,eksim
104,train_0105.jpg,panu
105,train_0106.jpg,eksim
106,train_0107.jpg,eksim
107,train_0108.jpg,eksim
108,train_0109.jpg,panu
109,train_0110.jpg,eksim
110,train_0111.jpg,panu
111,train_0112.jpg,rosacea
112,train_0113.jpg,panu
113,train_0114.jpg,herpes
114,train_0115.jpg,panu
115,train_0116.jpg,rosacea
116,train_0117.jpg,herpes
117,train_0118.jpg,acne
118,train_0119.jpg,panu
119,train_0120.jpg,herpes
120,train_0121.jpg,herpes
121,train_0122.jpg,panu
122,train_0123.jpg,eksim
123,train_0124.jpg,acne
124,train_0125.jpg,eksim
125,train_0126.jpg,eksim
126,train_0127.jpg,herpes
127,train_0128.jpg,panu
128,train_0129.jpg,herpes
129,train_0130.jpg,herpes
130,train_0131.jpg,eksim
131,train_0132.jpg,acne
132,train_0133.jpg,acne
133,train_0134.jpg,acne
134,train_0135.jpg,eksim
135,train_0136.jpg,herpes
136,train_0137.jpg,herpes
137,train_0138.jpg,rosacea
138,train_0139.jpg,herpes
139,train_0140.jpg,acne
140,train_0141.jpg,eksim
141,train_0142.jpg,eksim
142,train_0143.jpg,herpes
143,train_0144.jpg,rosacea
144,train_0145.jpg,eksim
145,train_0146.jpg,panu
146,train_0147.jpg,panu
147,train_0148.jpg,herpes
148,train_0149.jpg,eksim
149,train_0150.jpg,herpes
150,train_0151.jpg,panu
151,train_0152.jpg,acne
152,train_0153.jpg,herpes
153,train_0154.jpg,panu
154,train_0155.jpg,herpes
155,train_0156.jpg,panu
156,train_0157.jpg,eksim
157,train_0158.jpg,herpes
158,train_0159.jpg,panu
159,train_0160.jpg,acne
160,train_0161.jpg,acne
161,train_0162.jpg,acne
162,train_0163.jpg,acne
163,train_0164.jpg,panu
164,train_0165.jpg,eksim
165,train_0166.jpg,acne
166,train_0167.jpg,acne
167,train_0168.jpg,acne
168,train_0169.jpg,eksim
169,train_0170.jpg,eksim
170,train_0171.jpg,rosacea
171,train_0172.jpg,acne
172,train_0173.jpg,eksim
173,train_0174.jpg,acne
174,train_0175.jpg,herpes
175,train_0176.jpg,rosacea
176,train_0177.jpg,panu
177,train_0178.jpg,eksim
178,train_0179.jpg,eksim
179,train_0180.jpg,eksim
180,train_0181.jpg,acne
181,train_0182.jpg,eksim
182,train_0183.jpg,acne
183,train_0184.jpg,acne
184,train_0185.jpg,eksim
185,train_0186.jpg,eksim
186,train_0187.jpg,herpes
187,train_0188.jpg,panu
188,train_0189.jpg,eksim
189,train_0190.jpg,acne
190,train_0191.jpg,rosacea
191,train_0192.jpg,eksim
192,train_0193.jpg,eksim
193,train_0194.jpg,panu
194,train_0195.jpg,acne
195,train_0196.jpg,eksim
196,train_0197.jpg,panu
197,train_0198.jpg,eksim
198,train_0199.jpg,rosacea
199,train_0200.jpg,panu
200,train_0201.jpg,herpes
201,train_0202.jpg,eksim
202,train_0203.jpg,rosacea
203,train_0204.jpg,eksim
204,train_0205.jpg,eksim
205,train_0206.jpg,acne
206,train_0207.jpg,herpes
207,train_0208.jpg,acne
208,train_0209.jpg,eksim
209,train_0210.jpg,panu
210,train_0211.jpg,panu
211,train_0212.jpg,acne
212,train_0213.jpg,eksim
213,train_0214.jpg,eksim
214,train_0215.jpg,eksim
215,train_0216.jpg,acne
216,train_0217.jpg,acne
217,train_0218.jpg,herpes
218,train_0219.jpg,acne
219,train_0220.jpg,rosacea
220,train_0221.jpg,acne
221,train_0222.jpg,acne
222,train_0223.jpg,acne
223,train_0224.jpg,acne
224,train_0225.jpg,eksim
225,train_0226.jpg,rosacea
226,train_0227.jpg,eksim
227,train_0228.jpg,eksim
228,train_0229.jpg,acne
229,train_0230.jpg,panu
230,train_0231.jpg,herpes
231,train_0232.jpg,acne
232,train_0233.jpg,herpes
233,train_0234.jpg,eksim
234,train_0235.jpg,herpes
235,train_0236.jpg,herpes
236,train_0237.jpg,rosacea
237,train_0238.jpg,acne
238,train_0239.jpg,eksim
239,train_0240.jpg,acne
240,train_0241.jpg,panu
241,train_0242.jpg,eksim
242,train_0243.jpg,acne
243,train_0244.jpg,acne
244,train_0245.jpg,eksim
245,train_0246.jpg,acne
246,train_0247.jpg,acne
